degree_type,technical_skills,soft_skills,cgpa,projects,internships,communication_level,technical_skill_level,years_of_experience,specialization,project_exp,package
2,7,6,1,9,1,2,4,0,2,0,14.37
2,19,9,2,6,4,3,2,0,5,0,14.14
6,4,10,3,7,4,5,1,5,3,35,18.53
5,20,5,3,10,0,2,4,3,5,30,16.09
6,19,4,3,9,5,5,3,2,3,18,21.22
1,5,5,2,4,2,5,1,5,4,20,14.39
4,20,10,2,9,5,5,4,3,2,27,17.95
5,4,7,2,9,1,3,2,4,4,36,16.78
4,2,1,2,5,5,1,5,0,2,0,17.57
4,13,4,2,6,2,5,4,1,1,6,17.71
2,16,6,2,0,4,1,1,3,4,0,13.78
5,2,9,3,3,2,1,1,1,6,3,14.98
5,19,8,3,4,2,2,1,5,6,20,12.72
3,17,2,3,4,5,5,1,2,5,8,18.4
4,5,3,3,6,2,3,2,1,1,6,16.79
5,18,10,2,3,1,2,3,1,4,3,14.26
3,18,5,1,9,5,2,5,4,2,36,18.04
6,8,7,3,6,0,1,3,1,3,6,13.74
3,15,3,3,7,0,4,3,4,5,28,15.98
1,13,7,2,1,2,3,3,1,1,1,14.74
7,13,5,1,0,5,5,2,4,5,0,13.69
2,16,10,3,9,1,5,5,0,1,0,16.43
6,20,6,1,9,0,3,4,4,6,36,15.41
7,13,6,2,0,3,5,4,0,1,0,16.99
7,20,4,2,0,5,4,5,0,4,0,17.69
6,2,8,3,8,5,4,5,5,4,40,20.53
1,3,9,2,3,0,5,1,3,1,9,12.41
3,15,2,3,8,0,2,3,0,5,0,14.73
3,13,4,2,6,1,5,2,4,6,24,16.34
5,5,6,3,1,0,3,2,5,3,5,13.48
3,6,7,2,1,3,4,5,2,6,2,16.34
6,14,4,2,4,3,2,2,3,4,12,13.96
2,4,8,2,9,2,3,5,5,3,45,15.56
2,4,1,2,10,0,2,2,4,5,40,12.76
5,7,10,2,10,5,5,2,4,3,40,18.95
6,3,3,1,7,3,2,3,2,5,14,15.86
1,15,5,3,6,4,1,2,4,6,24,15.77
7,1,10,2,7,2,2,5,2,3,14,15.16
2,2,8,1,2,2,3,2,0,2,0,14.38
1,10,6,3,2,4,1,4,2,4,4,16.08
7,16,4,3,7,0,3,4,2,5,14,18.31
7,15,4,1,8,2,4,2,0,3,0,13.21
6,15,4,2,9,3,4,1,3,3,27,18.55
7,14,7,1,7,3,2,5,3,1,21,14.63
2,6,5,1,0,5,3,5,1,2,0,13.66
4,17,8,3,9,2,2,1,3,1,27,13.37
1,18,7,1,9,3,5,4,4,1,36,16.25
3,20,8,3,9,4,3,5,5,1,45,18.04
5,19,4,3,8,0,3,5,4,6,32,14.26
3,17,8,2,1,2,4,2,3,2,3,14.76
1,16,6,2,1,2,5,4,4,3,4,17.34
5,8,3,3,7,0,3,5,0,4,0,15.42
3,7,8,2,4,0,4,5,4,3,16,14.14
4,20,7,2,4,0,4,2,5,3,20,14.19
5,12,10,3,10,5,1,2,5,3,50,16.42
2,9,5,1,5,3,5,3,4,1,20,17.22
3,14,4,1,7,1,5,2,1,2,7,13.64
4,1,10,2,8,2,1,3,1,2,8,13.55
7,10,3,1,9,3,2,5,2,5,18,13.49
5,17,2,3,10,4,3,2,0,5,0,17.99
5,17,8,3,2,2,4,1,4,1,8,17.11
7,4,5,2,10,1,2,3,0,1,0,13.52
3,17,5,1,2,4,3,5,1,5,2,16.07
6,18,4,1,0,2,1,2,5,3,0,10.86
3,20,1,2,10,1,5,1,4,5,40,16.21
1,8,6,3,6,1,3,2,3,5,18,16.01
4,13,4,2,2,2,5,5,2,6,4,17.53
3,20,4,2,8,1,2,3,1,1,8,13.41
5,15,3,2,0,5,4,3,2,1,0,16.74
4,20,9,1,5,2,1,2,1,2,5,11.43
2,9,3,3,5,2,5,5,1,5,5,18.5
7,3,8,1,7,1,1,2,0,2,0,11.46
3,3,2,3,2,1,5,4,5,4,10,14.46
4,2,4,1,4,5,4,2,4,1,16,16.01
3,1,1,3,10,4,3,4,3,6,30,18.29
4,14,5,3,9,4,3,3,1,4,9,17.91
5,17,2,1,10,3,5,1,1,1,10,13.0
2,13,1,2,4,2,5,3,0,2,0,15.15
2,19,1,3,7,4,3,1,3,2,21,14.78
1,15,2,1,6,3,2,5,1,4,6,14.19
4,14,5,3,2,5,2,1,4,5,8,15.9
3,2,9,1,6,2,2,5,4,6,24,16.74
2,7,6,2,9,5,4,4,0,2,0,17.36
7,17,4,1,7,3,5,5,1,3,7,14.85
2,18,3,3,4,4,1,2,3,6,12,18.36
6,6,8,1,10,3,1,2,0,4,0,12.27
6,8,3,1,4,1,5,2,0,2,0,13.93
2,2,1,2,10,5,3,3,2,2,20,16.68
4,1,4,2,0,3,5,2,0,1,0,15.63
1,16,5,2,7,5,2,5,2,4,14,16.37
2,7,5,1,5,0,2,5,2,3,10,13.1
5,11,5,3,5,0,1,5,5,1,25,16.4
3,15,8,3,4,3,5,2,1,3,4,17.9
1,13,8,2,4,0,1,4,4,2,16,11.7
5,2,4,1,2,3,3,4,3,5,6,13.4
1,14,9,2,2,5,4,3,5,3,10,14.1
5,6,1,3,1,3,4,5,0,3,0,18.52
3,7,5,1,7,0,2,3,1,5,7,11.68
4,9,8,3,2,3,2,1,0,1,0,14.09
5,4,9,3,4,3,1,3,4,3,16,15.82
6,9,3,1,9,1,1,5,4,5,36,13.61
6,12,8,1,7,4,2,1,2,4,14,12.35
3,4,3,2,5,0,2,1,3,1,15,10.24
1,20,2,2,6,2,3,2,0,6,0,15.74
7,14,4,3,4,3,4,5,2,6,8,19.49
6,7,2,1,0,3,1,1,1,4,0,13.49
5,13,4,3,7,0,4,1,5,3,35,15.47
5,8,5,2,3,4,2,1,5,6,15,16.63
7,5,2,3,4,4,2,2,5,4,20,13.64
4,12,8,2,0,1,1,5,2,6,0,12.94
3,13,1,1,2,0,1,3,3,3,6,10.57
5,20,3,3,1,4,4,2,1,1,1,15.79
2,14,7,1,1,4,5,5,4,5,4,16.95
6,20,1,3,5,1,2,2,5,4,25,15.17
4,4,2,1,7,1,5,4,3,1,21,15.31
7,18,3,2,2,1,4,4,4,6,8,16.59
1,7,2,3,0,5,3,1,0,3,0,16.35
3,15,2,3,9,4,3,5,3,1,27,18.56
4,6,6,3,1,3,2,5,2,6,2,16.95
6,16,7,2,2,5,3,2,3,3,6,15.01
6,20,6,3,5,4,4,4,3,3,15,17.54
7,8,6,3,2,4,3,5,3,3,6,16.09
2,16,9,3,8,0,1,2,4,3,32,11.81
7,16,8,3,0,1,4,2,3,4,0,13.84
3,3,8,1,6,1,5,4,0,1,0,13.58
4,17,6,1,9,2,2,1,3,5,27,11.63
4,9,5,3,7,1,4,2,2,4,14,13.81
5,3,9,3,8,4,3,1,5,6,40,19.67
2,20,2,2,7,0,4,4,1,4,7,14.0
2,7,7,3,4,2,5,2,4,4,16,16.57
4,18,6,3,0,4,4,3,2,6,0,16.96
4,12,7,3,0,4,5,4,0,5,0,17.61
1,19,4,3,7,5,5,4,3,4,21,16.97
1,16,9,3,6,2,4,3,4,3,24,18.15
1,17,7,3,4,5,2,4,5,4,20,18.61
5,15,4,1,2,4,3,3,4,6,8,12.5
1,2,2,1,3,0,4,3,5,5,15,14.42
7,2,8,1,10,5,2,4,5,4,50,18.0
3,19,1,3,3,0,5,3,1,4,3,14.41
7,9,1,2,3,2,4,4,5,6,15,17.06
6,13,5,3,7,0,1,4,0,2,0,14.25
3,6,8,2,10,4,2,1,5,2,50,16.39
3,15,7,1,2,1,4,5,2,1,4,13.73
1,15,2,2,10,0,1,3,2,4,20,16.27
2,18,8,3,2,0,3,3,5,1,10,12.66
6,7,8,2,10,2,5,2,3,3,30,14.51
6,11,6,2,4,0,5,3,2,4,8,13.89
6,8,3,3,0,5,3,3,2,1,0,16.54
5,8,8,3,10,2,3,1,5,2,50,17.38
7,2,6,1,1,4,2,1,5,4,5,12.98
2,19,4,2,2,2,4,1,4,3,8,13.12
1,16,5,3,10,3,3,4,4,5,40,19.21
1,7,5,3,0,0,2,3,2,4,0,14.21
7,10,9,2,10,4,1,2,2,6,20,17.0
5,12,9,1,5,1,1,3,5,3,25,14.71
6,17,8,3,4,3,3,4,4,4,16,18.87
2,7,8,1,9,2,1,4,0,2,0,12.16
1,8,2,2,1,1,3,3,0,1,0,13.28
7,7,3,3,10,1,1,3,1,4,10,15.9
4,4,8,2,7,1,1,1,3,1,21,12.45
7,3,5,1,8,1,4,4,3,2,24,17.07
6,15,8,3,5,4,1,2,4,6,20,16.01
4,4,6,3,5,1,4,2,4,5,20,13.28
5,9,5,3,9,3,3,1,2,2,18,17.18
2,13,8,2,5,0,5,1,3,4,15,14.43
5,18,1,1,7,5,3,3,2,6,14,17.93
5,16,1,2,4,0,4,2,2,3,8,12.61
7,1,1,2,9,4,2,4,3,4,27,18.48
2,4,3,2,9,3,1,5,4,1,36,16.19
1,20,6,3,6,4,4,2,4,1,24,16.72
4,11,7,3,3,3,1,5,2,1,6,17.6
1,19,2,1,6,3,4,3,3,3,18,12.18
3,19,4,1,5,3,2,3,3,1,15,16.12
7,18,1,3,5,1,1,1,1,1,5,13.56
4,19,7,2,1,0,5,4,2,2,2,16.38
2,11,4,1,10,0,2,4,3,1,30,13.9
1,8,4,1,1,0,5,4,5,6,5,14.5
7,19,8,3,7,5,3,2,2,5,14,15.45
2,10,4,2,6,2,2,5,0,4,0,16.69
6,16,8,3,0,4,4,1,3,6,0,15.98
7,5,9,3,8,5,5,4,1,6,8,20.19
3,20,1,3,10,0,2,4,2,5,20,13.6
4,9,4,2,10,0,1,2,3,1,30,13.67
2,8,6,2,7,2,2,2,1,2,7,13.49
7,11,8,1,8,4,4,2,0,1,0,16.12
4,16,6,2,3,4,4,5,1,1,3,17.81
2,7,6,1,4,2,1,1,2,5,8,10.92
1,15,10,2,10,2,2,1,4,5,40,14.06
1,17,9,2,10,1,3,5,0,5,0,17.34
7,6,7,3,8,4,5,3,5,1,40,18.83
1,15,6,2,7,4,5,4,2,3,14,15.24
7,2,6,2,10,1,4,5,4,1,40,17.12
7,13,1,2,9,1,1,5,3,4,27,16.2
1,6,5,3,10,3,5,3,2,5,20,16.07
2,5,1,1,9,4,3,2,0,4,0,13.67
7,20,3,3,0,2,4,1,5,1,0,15.5
1,1,7,3,6,3,3,5,4,1,24,15.0
5,18,5,2,8,5,5,2,3,5,24,14.94
1,15,10,2,3,3,5,4,0,2,0,16.0
4,10,1,2,3,3,4,4,2,2,6,13.36
6,3,1,3,4,2,3,4,1,5,4,14.83
5,5,8,3,7,1,1,5,1,6,7,14.11
4,13,9,3,10,2,1,5,4,4,40,17.8
4,8,7,2,4,4,4,3,5,2,20,16.51
4,2,3,2,3,5,5,1,5,3,15,14.08
2,9,6,1,7,5,4,2,0,6,0,15.3
2,18,10,2,4,4,1,2,0,2,0,13.21
4,13,4,2,7,1,5,3,4,6,28,13.71
3,1,4,3,0,2,3,4,2,1,0,14.05
5,12,3,2,2,1,1,2,5,4,10,11.7
3,20,10,2,6,1,1,1,0,1,0,15.12
4,20,6,1,0,2,2,1,4,1,0,14.28
5,5,5,2,10,4,5,3,4,6,40,18.72
5,8,9,3,4,2,4,2,3,3,12,13.92
6,3,3,2,0,4,1,3,0,6,0,14.94
3,6,9,1,6,0,5,3,4,1,24,11.55
5,12,4,2,8,0,2,1,3,2,24,13.46
5,18,5,3,3,3,3,5,3,3,9,16.42
6,1,9,2,0,4,4,1,2,1,0,12.83
3,7,2,3,3,4,5,3,3,4,9,16.88
4,12,4,1,4,2,2,2,0,2,0,13.95
7,10,10,3,6,4,1,3,3,4,18,16.34
7,12,2,2,4,2,3,3,1,1,4,13.51
7,11,8,2,7,3,2,5,1,5,7,17.62
4,4,9,3,6,2,4,2,1,2,6,16.07
7,19,3,1,0,0,4,1,1,6,0,11.21
3,6,9,2,1,2,5,4,0,4,0,14.71
4,9,6,2,6,2,4,1,4,6,24,13.21
6,5,5,1,10,1,3,5,1,1,10,16.52
3,13,6,3,8,1,4,2,4,3,32,15.49
1,9,1,3,9,5,5,4,1,4,9,20.72
2,2,3,3,7,1,3,4,5,4,35,18.4
7,18,9,1,7,5,3,2,4,3,28,14.78
2,1,5,2,2,4,4,1,1,3,2,12.69
4,12,5,3,10,0,5,4,5,3,50,16.58
2,10,8,1,9,1,4,2,4,1,36,13.06
3,2,2,3,8,1,1,2,4,3,32,14.37
5,2,9,2,1,5,5,3,3,5,3,15.65
7,14,7,3,6,5,1,1,4,4,24,16.43
5,11,5,3,7,3,5,2,1,1,7,17.66
2,11,6,3,6,0,1,2,0,1,0,11.25
5,4,7,3,6,2,3,5,1,5,6,15.08
3,7,4,3,0,3,5,2,2,5,0,17.9
4,1,4,3,4,0,2,3,0,6,0,16.28
2,13,1,2,10,4,1,2,1,4,10,13.71
5,1,2,3,0,2,2,1,3,4,0,14.03
1,11,9,2,9,4,4,3,2,1,18,18.58
7,6,7,1,6,1,3,4,3,4,18,12.83
1,20,6,1,4,5,3,1,0,4,0,16.2
2,3,2,1,4,5,2,2,5,3,20,14.84
1,5,2,3,8,2,3,1,5,2,40,15.23
1,9,7,3,9,2,1,2,3,6,27,14.94
7,12,2,1,0,4,5,4,5,6,0,13.42
5,10,3,3,9,3,1,1,5,3,45,14.16
7,5,7,2,10,0,5,1,3,5,30,14.47
1,5,9,2,1,5,3,5,5,2,5,16.79
1,9,4,3,8,3,5,4,3,6,24,19.55
5,20,7,2,8,1,1,5,5,5,40,14.55
3,10,2,2,2,3,1,4,4,4,8,16.4
7,1,7,3,9,0,2,2,5,1,45,15.75
5,16,2,3,7,1,2,5,4,2,28,18.45
2,15,6,1,1,5,1,4,2,2,2,12.18
7,17,10,1,1,5,2,4,0,1,0,12.28
1,20,9,3,1,4,4,1,5,4,5,13.12
2,13,5,3,4,4,2,5,0,6,0,19.15
4,8,7,3,6,0,4,3,5,2,30,17.76
2,5,1,3,6,4,3,1,5,3,30,15.07
3,6,8,2,1,2,3,4,4,3,4,11.48
2,20,9,2,1,5,4,5,2,3,2,17.35
3,14,5,1,4,5,3,3,2,1,8,13.29
1,11,6,3,6,2,2,4,1,2,6,17.84
3,6,8,2,6,5,1,5,3,6,18,16.34
7,11,4,1,8,5,4,5,0,1,0,18.73
1,13,2,3,2,5,1,3,5,5,10,16.24
1,12,10,3,0,0,4,4,0,6,0,14.87
3,2,8,1,8,0,4,3,2,5,16,14.75
6,4,5,2,7,0,1,1,2,2,14,14.85
4,6,5,3,7,0,1,2,1,4,7,13.87
6,7,6,2,6,5,4,4,5,5,30,18.68
2,15,6,2,8,2,2,3,1,5,8,16.32
2,11,3,3,1,3,3,1,1,6,1,17.38
1,3,3,2,8,0,2,2,5,2,40,15.84
2,6,9,3,9,4,2,5,5,6,45,16.66
4,2,3,2,4,1,1,1,2,2,8,11.06
3,9,2,2,0,1,4,2,5,5,0,12.02
6,18,7,2,5,4,4,3,4,4,20,15.58
3,19,10,1,9,4,5,1,0,1,0,16.27
4,12,10,3,9,1,3,3,4,2,36,18.15
2,13,4,2,9,1,1,2,3,5,27,16.58
7,12,1,2,9,1,4,5,5,1,45,15.59
4,12,6,3,2,0,2,1,2,1,4,14.07
1,18,5,3,9,5,5,3,2,4,18,19.78
3,9,2,3,2,4,3,3,5,6,10,17.21
3,17,6,1,2,2,4,4,2,6,4,12.08
5,16,1,3,3,5,5,3,1,2,3,16.05
2,17,3,2,8,0,3,3,1,2,8,16.13
1,8,4,1,7,2,2,2,1,2,7,14.21
7,11,3,2,5,0,5,3,4,6,20,15.27
3,2,6,2,7,0,1,4,5,2,35,15.9
3,8,4,1,7,2,3,5,5,5,35,13.04
1,12,1,2,0,1,5,4,0,1,0,14.29
4,1,5,3,8,5,5,5,2,3,16,18.29
4,13,5,2,0,2,3,1,2,3,0,13.74
2,17,9,2,10,3,5,5,4,2,40,16.13
5,14,8,2,1,4,5,5,5,5,5,17.17
3,14,8,3,8,3,3,4,0,5,0,17.31
5,16,5,1,6,5,2,2,0,5,0,14.44
4,17,8,2,9,0,1,2,4,1,36,15.33
4,6,10,2,0,2,3,5,2,4,0,13.43
7,1,1,1,0,5,5,2,3,1,0,16.34
2,15,7,2,4,1,1,2,0,5,0,14.06
6,20,8,2,3,3,1,4,0,6,0,14.24
6,13,9,2,8,0,4,1,0,6,0,12.59
6,2,8,3,3,4,4,4,4,5,12,17.09
2,19,2,1,2,0,2,4,3,3,6,10.7
2,15,6,3,3,5,4,4,3,4,9,20.2
1,12,4,2,2,1,3,5,0,1,0,15.35
5,15,3,3,5,5,1,5,4,6,20,16.6
1,14,10,2,1,3,4,2,0,6,0,12.53
4,12,2,3,2,0,2,3,5,6,10,13.75
7,20,10,3,3,4,4,4,4,1,12,15.61
6,6,10,2,0,2,3,4,4,4,0,14.88
1,9,10,3,2,4,2,5,1,5,2,18.65
3,4,5,1,0,0,4,5,3,4,0,15.59
5,17,6,3,10,0,2,3,0,5,0,17.45
1,2,4,2,9,1,5,5,2,2,18,18.72
3,16,7,2,4,2,3,5,0,6,0,12.95
3,14,2,2,0,5,4,2,0,1,0,15.68
4,14,2,3,6,1,3,2,5,3,30,13.79
4,2,1,2,10,0,5,4,3,4,30,17.21
3,16,5,2,7,1,5,2,1,1,7,14.04
7,4,2,1,8,4,1,3,4,4,32,13.09
4,1,8,2,9,1,3,2,1,1,9,13.77
6,20,8,2,7,5,4,5,0,6,0,15.55
6,8,4,2,6,3,4,3,2,6,12,14.51
6,3,9,3,6,0,2,4,5,1,30,13.66
3,5,5,3,6,3,4,4,2,3,12,19.01
5,6,10,2,7,2,2,5,0,3,0,14.18
7,8,6,3,3,3,4,1,1,6,3,14.38
3,6,3,1,10,1,2,3,1,1,10,11.99
3,6,5,3,5,1,3,5,3,5,15,13.63
4,4,1,1,1,2,5,4,5,6,5,12.41
3,7,8,3,6,2,3,4,0,3,0,17.5
5,19,6,2,8,0,1,1,5,6,40,15.73
4,7,2,2,4,1,3,3,4,3,16,15.43
2,3,4,3,3,2,3,3,4,2,12,17.04
2,8,4,1,1,5,5,5,1,5,1,17.24
6,1,9,2,6,3,3,1,2,1,12,13.15
7,1,9,3,1,1,1,2,2,3,2,14.3
6,14,5,3,1,5,3,5,1,1,1,18.9
7,14,6,2,9,5,3,5,4,4,36,20.74
2,4,8,3,2,4,5,5,1,4,2,17.57
6,6,1,2,2,1,5,5,5,1,10,14.24
2,16,1,3,1,1,1,3,2,5,2,13.62
5,1,7,2,9,1,1,1,0,5,0,14.48
5,6,7,1,2,1,1,1,4,4,8,8.75
1,9,2,2,8,4,3,4,3,1,24,15.31
1,15,3,2,10,4,4,4,1,1,10,15.4
4,12,2,3,10,5,3,2,0,1,0,18.41
7,3,6,2,10,5,4,1,5,1,50,16.78
5,11,8,3,2,0,1,5,4,1,8,15.58
6,15,8,2,4,1,3,4,3,2,12,12.51
3,14,9,1,0,3,5,2,0,2,0,13.53
1,2,8,3,0,1,1,1,5,3,0,13.63
3,4,9,3,9,5,3,3,1,5,9,18.49
6,19,9,1,1,4,5,2,4,4,4,14.71
1,12,6,3,0,0,5,3,2,1,0,17.19
3,2,3,2,0,1,4,1,5,1,0,13.06
6,3,8,3,3,2,5,1,2,5,6,16.79
2,10,10,3,9,2,2,5,4,4,36,15.88
7,16,3,3,2,2,1,2,4,4,8,13.21
6,9,7,3,0,2,1,5,4,3,0,15.09
4,11,10,3,2,3,5,1,0,5,0,13.86
1,15,6,1,0,0,4,1,1,2,0,10.61
2,16,6,3,3,3,2,5,3,5,9,16.5
3,7,1,1,7,5,4,2,3,4,21,14.84
1,9,8,3,2,3,5,1,0,2,0,13.33
5,18,5,3,2,5,3,4,2,4,4,19.69
5,12,1,2,10,5,3,3,1,5,10,16.06
1,2,9,2,5,4,2,3,2,4,10,17.3
4,10,5,3,9,5,5,5,5,1,45,19.37
4,19,9,3,3,3,5,4,4,6,12,15.05
6,8,9,2,4,0,2,2,1,2,4,15.26
5,1,7,3,8,5,1,4,4,1,32,16.97
1,6,8,2,0,2,2,3,2,3,0,14.08
1,12,1,2,6,5,3,3,3,6,18,17.58
3,19,4,3,10,1,2,5,3,1,30,16.61
4,17,10,3,6,4,2,2,2,4,12,18.28
3,2,10,2,9,2,1,1,5,5,45,12.06
1,18,9,2,0,0,4,1,4,4,0,13.1
3,11,3,2,8,5,1,2,5,3,40,17.16
5,18,10,1,6,5,2,4,4,5,24,13.55
4,8,10,2,3,3,3,2,4,2,12,12.3
4,15,1,1,8,4,1,5,0,2,0,14.04
6,9,5,2,4,3,4,1,2,4,8,14.71
5,15,7,3,2,0,4,4,5,6,10,12.62
6,7,4,3,1,5,1,4,0,5,0,18.2
3,20,9,1,8,3,2,2,5,1,40,15.46
7,13,6,2,3,3,5,4,0,6,0,17.1
2,13,6,2,6,5,3,3,3,4,18,17.43
5,1,3,2,0,3,5,3,4,1,0,15.31
5,20,10,2,8,5,3,3,0,1,0,15.56
5,4,10,3,8,3,5,2,1,5,8,19.09
6,4,5,1,9,0,5,1,2,2,18,13.97
3,4,10,2,5,1,3,2,1,2,5,13.12
5,13,6,1,5,2,3,5,4,4,20,16.73
7,2,4,1,5,4,4,4,3,5,15,17.5
5,15,3,3,4,1,2,3,1,1,4,12.98
4,4,5,2,10,0,2,2,1,4,10,16.15
2,6,7,2,0,4,4,2,5,2,0,14.4
4,3,6,3,3,4,5,4,0,1,0,17.01
4,7,2,1,9,5,3,2,1,1,9,13.57
2,6,1,2,0,5,1,3,3,3,0,16.11
7,3,5,3,4,3,5,4,1,6,4,17.59
3,4,5,3,3,2,2,1,1,4,3,16.71
4,10,6,2,7,5,3,3,4,1,28,18.02
3,9,3,2,0,2,4,5,5,3,0,16.81
4,6,1,3,7,0,5,5,3,2,21,18.91
2,11,4,1,0,1,5,3,4,4,0,11.6
4,7,10,2,8,3,4,3,2,2,16,13.62
6,4,8,1,5,3,5,5,1,2,5,13.93
1,5,6,2,0,1,4,4,4,4,0,16.05
5,4,3,3,6,4,5,5,5,3,30,20.66
4,4,1,2,6,1,3,2,4,4,24,12.55
7,11,3,1,10,1,4,5,0,1,0,15.44
4,2,4,1,7,5,5,2,4,2,28,15.23
5,14,4,2,6,2,3,2,0,5,0,13.54
7,7,2,1,5,2,2,2,2,2,10,14.31
1,11,4,3,0,0,4,2,0,1,0,15.52
7,7,4,2,9,2,3,3,1,4,9,14.39
6,16,1,3,10,2,1,2,5,3,50,15.51
7,6,1,2,7,4,2,1,0,2,0,14.77
7,6,1,1,4,5,4,5,4,3,16,18.11
4,2,5,2,3,3,3,2,1,1,3,13.7
6,8,6,3,4,3,4,5,0,3,0,19.32
5,7,6,1,4,4,3,5,2,6,8,14.41
1,14,6,2,9,2,4,4,1,1,9,16.88
6,9,9,2,2,1,3,1,5,3,10,13.62
6,15,1,2,3,4,5,1,1,2,3,15.26
2,18,10,3,3,3,4,2,1,2,3,14.98
6,12,6,3,7,0,3,2,0,4,0,13.87
2,19,8,3,4,3,1,2,5,4,20,15.57
7,7,3,3,9,3,1,5,3,3,27,16.64
4,10,5,1,1,4,2,5,5,1,5,13.66
4,10,10,1,8,0,3,2,3,1,24,15.11
1,2,4,2,7,3,2,5,3,5,21,17.79
3,13,9,2,9,4,5,3,2,1,18,19.42
1,9,2,1,4,0,5,1,1,1,4,12.63
6,13,2,2,2,4,5,4,5,2,10,15.03
4,9,7,3,10,0,2,1,4,3,40,16.43
5,13,4,2,1,5,4,1,5,1,5,17.08
4,5,1,1,8,1,2,4,1,4,8,11.76
2,14,5,3,5,1,2,2,4,2,20,14.62
4,5,2,2,7,1,1,5,5,6,35,16.46
7,8,9,2,4,4,2,5,3,1,12,13.73
1,7,1,3,9,0,4,4,5,4,45,17.73
7,8,2,3,4,5,1,4,4,1,16,16.06
1,3,6,2,10,1,4,5,4,6,40,17.17
4,15,8,2,9,2,3,5,1,2,9,17.58
5,8,7,2,3,1,1,4,0,5,0,13.66
3,7,2,3,1,5,5,5,0,3,0,18.95
2,19,9,3,5,2,4,3,3,3,15,13.9
4,2,4,1,3,5,1,3,2,5,6,13.42
1,14,3,3,10,3,5,5,0,3,0,18.78
4,18,7,2,3,2,4,1,2,1,6,16.5
3,15,5,3,9,3,4,4,3,1,27,19.65
6,14,5,3,2,2,1,2,4,3,8,13.48
3,19,6,3,5,2,5,3,3,6,15,14.99
1,17,6,2,8,1,4,1,3,3,24,14.08
7,19,4,1,4,3,3,5,2,6,8,16.0
3,16,5,3,5,3,1,1,5,3,25,14.35
1,20,7,2,8,5,1,2,0,1,0,17.49
5,19,8,1,3,1,2,5,5,3,15,14.04
3,1,6,3,9,0,5,3,4,4,36,16.77
7,5,8,2,10,2,4,3,3,5,30,14.53
7,17,3,1,10,1,1,1,3,4,30,12.93
1,11,5,3,5,3,4,3,0,3,0,15.97
1,8,2,1,5,3,3,1,1,6,5,12.37
2,10,10,1,5,3,3,1,4,3,20,12.24
6,10,4,2,9,4,2,5,1,2,9,19.76
3,13,4,3,5,3,3,3,3,2,15,18.32
3,18,8,2,6,4,2,3,1,2,6,16.07
1,10,3,2,1,4,1,1,5,2,5,13.39
4,20,5,1,8,1,3,3,2,3,16,15.42
3,17,2,2,6,5,2,5,0,2,0,14.99
4,20,9,1,2,2,3,2,0,5,0,10.93
7,16,4,1,9,3,4,1,2,3,18,14.06
6,5,9,2,9,5,2,5,5,4,45,16.7
1,3,9,1,6,5,2,3,5,3,30,13.57
3,15,2,2,9,4,2,1,1,6,9,13.34
7,8,2,3,8,5,3,2,1,5,8,18.13
4,17,6,3,5,2,1,1,0,3,0,13.25
5,4,9,2,10,1,5,5,4,4,40,16.12
2,19,4,2,6,0,5,5,1,6,6,16.48
6,9,2,2,3,0,2,3,2,1,6,14.65
7,15,7,1,1,3,2,3,2,6,2,15.62
7,9,9,3,10,5,1,1,5,4,50,15.54
5,14,4,3,8,5,2,1,1,1,8,17.58
3,16,1,3,2,0,4,5,3,4,6,17.76
3,17,4,1,6,2,5,5,2,4,12,15.2
1,9,7,1,2,1,1,4,1,4,2,11.71
5,7,5,3,1,1,5,3,0,2,0,16.01
3,1,3,2,10,0,3,5,5,5,50,15.39
2,1,2,1,9,2,5,1,5,4,45,14.73
6,5,2,1,3,0,4,1,3,2,9,13.08
1,9,5,3,6,4,3,4,2,3,12,16.21
1,12,8,3,1,2,4,3,1,6,1,15.1
3,8,2,2,4,1,2,1,5,3,20,10.5
5,15,4,1,2,1,3,3,5,3,10,10.37
5,6,7,3,4,1,2,2,4,1,16,13.96
1,6,6,2,9,0,2,4,4,2,36,15.17
3,4,10,3,6,0,4,1,3,2,18,13.37
2,11,7,2,2,1,1,2,1,4,2,14.52
6,18,5,2,7,1,5,5,4,4,28,14.28
3,3,2,2,6,1,1,1,1,2,6,11.89
7,3,8,3,3,4,4,2,0,5,0,16.35
3,12,2,3,4,0,5,5,2,1,8,14.4
4,6,8,2,9,1,5,3,0,1,0,14.53
5,6,7,2,10,3,4,1,4,4,40,17.8
7,8,3,1,3,1,2,1,4,1,12,11.71
6,15,4,1,1,0,5,3,1,3,1,14.44
1,18,7,3,8,3,5,1,4,4,32,15.22
7,20,4,2,0,5,5,4,1,4,0,17.2
3,16,9,2,7,5,5,2,3,5,21,18.32
1,6,7,3,3,5,3,5,4,2,12,17.59
3,17,1,2,8,0,2,5,3,5,24,15.84
6,19,4,1,6,0,3,4,5,4,30,11.89
5,18,9,3,2,2,4,1,2,5,4,14.23
6,5,4,2,9,3,2,3,5,1,45,17.95
4,6,5,1,6,4,1,3,1,4,6,13.13
2,12,1,3,1,4,2,1,3,5,3,14.92
5,11,2,2,2,2,1,5,2,6,4,14.17
6,16,4,3,7,0,5,2,4,6,28,16.46
4,20,4,3,6,4,1,2,4,4,24,17.39
2,17,10,3,10,3,1,5,3,5,30,17.49
4,20,6,3,2,1,1,2,5,4,10,15.93
