degree_type,technical_skills,soft_skills,cgpa,projects,internships,communication_level,technical_skill_level,years_of_experience,specialization,package
MCA,4,5,5.05,9,0,5,1,2,Cybersecurity,13.97
BCA,4,10,6.38,5,1,3,2,1,Cybersecurity,13.12
M.Tech,13,6,5.71,5,2,3,5,4,Cloud Computing,16.73
PhD,2,4,5.64,5,4,4,4,3,AI/ML,17.5
M.Tech,15,3,9.8,4,1,2,3,1,App Development,12.98
M.Sc,4,5,6.88,10,0,2,2,1,Cloud Computing,16.15
B.Tech,6,7,7.64,0,4,4,2,5,Cybersecurity,14.4
M.Sc,3,6,8.67,3,4,5,4,0,App Development,17.01
M.Sc,7,2,5.24,9,5,3,2,1,App Development,13.57
B.Tech,6,1,6.21,0,5,1,3,3,Data Science,16.11
PhD,3,5,9.16,4,3,5,4,1,Web Development,17.59
BCA,4,5,9.31,3,2,2,1,1,Cloud Computing,16.71
M.Sc,10,6,6.86,7,5,3,3,4,App Development,18.02
BCA,9,3,6.87,0,2,4,5,5,Data Science,16.81
M.Sc,6,1,8.78,7,0,5,5,3,Cybersecurity,18.91
B.Sc,20,4,6.48,7,5,1,4,1,None,17.12
B.Tech,11,4,5.59,0,1,5,3,4,Cloud Computing,11.6
M.Sc,7,10,6.29,8,3,4,3,2,Cybersecurity,13.62
B.Sc,18,2,6.94,8,2,1,3,1,None,14.37
MCA,4,8,5.26,5,3,5,5,1,Cybersecurity,13.93
B.Sc,5,6,7.39,0,1,4,4,4,Cloud Computing,16.05
M.Tech,4,3,8.7,6,4,5,5,5,Data Science,20.66
M.Sc,4,1,7.57,6,1,3,2,4,Cloud Computing,12.55
B.Sc,13,3,5.36,8,4,5,1,4,None,12.9
BCA,16,8,7.2,0,1,4,5,1,None,14.15
MCA,14,4,8.54,7,3,2,4,0,None,16.85
PhD,11,3,5.29,10,1,4,5,0,App Development,15.44
M.Sc,2,4,5.3,7,5,5,2,4,Cybersecurity,15.23
M.Tech,14,4,6.85,6,2,3,2,0,AI/ML,13.54
PhD,7,2,5.97,5,2,2,2,2,Cybersecurity,14.31
B.Sc,11,4,9.67,0,0,4,2,0,App Development,15.52
PhD,4,9,7.91,10,5,2,1,0,None,14.69
PhD,7,4,6.44,9,2,3,3,1,Cloud Computing,14.39
MCA,16,1,8.52,10,2,1,2,5,Data Science,15.51
PhD,6,1,6.87,7,4,2,1,0,Cybersecurity,14.77
PhD,6,1,5.66,4,5,4,5,4,Data Science,18.11
M.Sc,2,5,6.19,3,3,3,2,1,App Development,13.7
MCA,8,6,8.21,4,3,4,5,0,Data Science,19.32
M.Tech,7,6,5.26,4,4,3,5,2,Web Development,14.41
B.Sc,14,6,6.36,9,2,4,4,1,App Development,16.88
MCA,9,9,6.04,2,1,3,1,5,Data Science,13.62
MCA,15,1,6.01,3,4,5,1,1,Cybersecurity,15.26
B.Tech,18,10,8.41,3,3,4,2,1,Cybersecurity,14.98
MCA,12,6,9.13,7,0,3,2,0,Cloud Computing,13.87
B.Tech,19,8,8.58,4,3,1,2,5,Cloud Computing,15.57
B.Sc,13,8,8.23,5,1,3,1,4,None,14.03
PhD,7,3,9.58,9,3,1,5,3,Data Science,16.64
M.Sc,10,5,5.29,1,4,2,5,5,App Development,13.66
M.Sc,10,10,5.84,8,0,3,2,3,App Development,15.11
B.Sc,2,4,7.07,7,3,2,5,3,AI/ML,17.79
B.Sc,14,1,6.86,7,4,2,2,0,None,12.83
BCA,13,9,7.09,9,4,5,3,2,App Development,19.42
PhD,6,5,6.03,4,4,3,5,1,None,15.46
B.Sc,9,2,5.75,4,0,5,1,1,App Development,12.63
MCA,13,2,7.55,2,4,5,4,5,Cybersecurity,15.03
M.Sc,9,7,9.64,10,0,2,1,4,Data Science,16.43
M.Tech,13,4,6.96,1,5,4,1,5,App Development,17.08
M.Sc,5,1,5.22,8,1,2,4,1,Cloud Computing,11.76
B.Tech,14,5,8.53,5,1,2,2,4,Cybersecurity,14.62
M.Sc,5,2,6.46,7,1,1,5,5,Web Development,16.46
BCA,9,7,6.23,3,5,4,1,0,None,16.2
PhD,8,9,6.62,4,4,2,5,3,App Development,13.73
B.Sc,7,1,8.62,9,0,4,4,5,Cloud Computing,17.73
PhD,8,2,9.09,4,5,1,4,4,App Development,16.06
B.Sc,3,6,7.94,10,1,4,5,4,Web Development,17.17
M.Sc,15,8,6.61,9,2,3,5,1,Cybersecurity,17.58
M.Tech,8,7,6.55,3,1,1,4,0,AI/ML,13.66
M.Tech,1,9,5.62,10,4,4,2,3,None,12.92
BCA,7,2,9.67,1,5,5,5,0,Data Science,18.95
B.Tech,19,9,8.19,5,2,4,3,3,Data Science,13.9
M.Sc,2,4,5.13,3,5,1,3,2,AI/ML,13.42
B.Sc,14,3,8.31,10,3,5,5,0,Data Science,18.78
M.Sc,18,7,7.24,3,2,4,1,2,App Development,16.5
BCA,15,5,9.86,9,3,4,4,3,App Development,19.65
MCA,14,5,9.1,2,2,1,2,4,Data Science,13.48
MCA,19,2,5.86,7,0,5,3,2,None,15.0
BCA,19,6,8.6,5,2,5,3,3,Web Development,14.99
B.Sc,17,6,7.43,8,1,4,1,3,Data Science,14.08
PhD,19,4,5.94,4,3,3,5,2,Web Development,16.0
BCA,16,5,8.49,5,3,1,1,5,Data Science,14.35
B.Sc,20,7,7.74,8,5,1,2,0,App Development,17.49
M.Tech,19,8,5.15,3,1,2,5,5,Data Science,14.04
BCA,1,6,8.23,9,0,5,3,4,Cloud Computing,16.77
B.Sc,19,5,8.17,6,2,5,3,3,None,14.9
BCA,7,3,5.72,9,0,2,4,0,None,10.71
BCA,11,7,6.74,9,1,4,2,3,None,15.71
PhD,5,8,7.93,10,2,4,3,3,AI/ML,14.53
PhD,17,3,5.69,10,1,1,1,3,Cloud Computing,12.93
B.Sc,11,5,9.26,5,3,4,3,0,Data Science,15.97
B.Sc,8,2,5.14,5,3,3,1,1,Web Development,12.37
B.Tech,10,10,5.51,5,3,3,1,4,Data Science,12.24
BCA,12,10,5.58,3,4,3,5,4,None,13.21
MCA,10,4,7.64,9,4,2,5,1,Cybersecurity,19.76
BCA,13,4,8.1,5,3,3,3,3,Cybersecurity,18.32
BCA,18,8,7.02,6,4,2,3,1,Cybersecurity,16.07
B.Sc,10,3,6.44,1,4,1,1,5,Cybersecurity,13.39
BCA,19,5,9.05,10,5,1,5,2,None,15.47
M.Sc,20,5,5.34,8,1,3,3,2,Data Science,15.42
BCA,17,2,6.4,6,5,2,5,0,Cybersecurity,14.99
M.Sc,20,9,5.2,2,2,3,2,0,AI/ML,10.93
PhD,16,4,5.07,9,3,4,1,2,Data Science,14.06
MCA,5,9,6.77,9,5,2,5,5,Cloud Computing,16.7
B.Sc,3,9,5.97,6,5,2,3,5,Data Science,13.57
BCA,15,2,6.34,9,4,2,1,1,Web Development,13.34
M.Sc,2,9,9.1,9,1,2,4,5,None,17.92
M.Sc,13,9,5.81,4,1,4,1,0,None,13.06
PhD,8,2,8.9,8,5,3,2,1,AI/ML,18.13
M.Sc,17,6,8.38,5,2,1,1,0,Data Science,13.25
M.Tech,4,9,6.63,10,1,5,5,4,Cloud Computing,16.12
B.Tech,19,4,7.73,6,0,5,5,1,Web Development,16.48
MCA,9,2,7.22,3,0,2,3,2,App Development,14.65
PhD,15,7,5.64,1,3,2,3,2,Web Development,15.62
PhD,9,9,9.54,10,5,1,1,5,Cloud Computing,15.54
BCA,9,6,7.85,3,2,5,1,0,None,12.17
M.Tech,14,4,9.4,8,5,2,1,1,App Development,17.58
BCA,16,1,9.12,2,0,4,5,3,Cloud Computing,17.76
BCA,17,4,5.4,6,2,5,5,2,Cloud Computing,15.2
B.Sc,13,3,6.04,3,3,4,4,2,None,14.69
B.Sc,9,7,5.73,2,1,1,4,1,Cloud Computing,11.71
B.Sc,15,10,9.15,4,1,1,4,1,None,15.75
M.Tech,7,5,9.31,1,1,5,3,0,Cybersecurity,16.01
BCA,1,3,7.64,10,0,3,5,5,AI/ML,15.39
B.Tech,1,2,5.52,9,2,5,1,5,Cloud Computing,14.73
MCA,5,2,5.68,3,0,4,1,3,Cybersecurity,13.08
B.Sc,9,5,9.07,6,4,3,4,2,Data Science,16.21
B.Sc,12,8,9.65,1,2,4,3,1,Web Development,15.1
PhD,6,8,6.0,9,3,4,3,2,None,13.55
BCA,13,5,5.06,5,0,4,4,3,None,14.64
BCA,8,2,6.65,4,1,2,1,5,Data Science,10.5
M.Tech,15,4,5.15,2,1,3,3,5,Data Science,10.37
M.Tech,6,7,9.14,4,1,2,2,4,App Development,13.96
B.Sc,6,6,7.46,9,0,2,4,4,Cybersecurity,15.17
BCA,4,10,8.21,6,0,4,1,3,Cybersecurity,13.37
B.Tech,11,7,7.06,2,1,1,2,1,Cloud Computing,14.52
MCA,18,5,6.73,7,1,5,5,4,Cloud Computing,14.28
BCA,3,2,6.11,6,1,1,1,1,Cybersecurity,11.89
PhD,3,8,8.85,3,4,4,2,0,AI/ML,16.35
BCA,12,2,8.48,4,0,5,5,2,App Development,14.4
M.Sc,6,8,6.8,9,1,5,3,0,App Development,14.53
M.Tech,6,7,6.61,10,3,4,1,4,Cloud Computing,17.8
PhD,8,3,5.01,3,1,2,1,4,App Development,11.71
MCA,15,4,5.32,1,0,5,3,1,Data Science,14.44
B.Sc,18,7,8.12,8,3,5,1,4,Cloud Computing,15.22
PhD,20,4,7.57,0,5,5,4,1,Cloud Computing,17.2
BCA,16,9,7.17,7,5,5,2,3,AI/ML,18.32
B.Sc,6,7,9.14,3,5,3,5,4,Cybersecurity,17.59
BCA,17,1,7.52,8,0,2,5,3,AI/ML,15.84
B.Sc,9,1,6.92,2,0,3,2,3,None,13.57
MCA,19,4,5.81,6,0,3,4,5,Cloud Computing,11.89
M.Tech,18,9,9.1,2,2,4,1,2,AI/ML,14.23
MCA,5,4,7.88,9,3,2,3,5,App Development,17.95
M.Sc,6,5,5.46,6,4,1,3,1,Cloud Computing,13.13
B.Tech,12,1,8.24,1,4,2,1,3,AI/ML,14.92
M.Tech,11,2,7.13,2,2,1,5,2,Web Development,14.17
MCA,16,4,9.06,7,0,5,2,4,Web Development,16.46
M.Sc,20,4,9.59,6,4,1,2,4,Cloud Computing,17.39
B.Tech,17,10,8.0,10,3,1,5,3,AI/ML,17.49
M.Sc,20,6,8.66,2,1,1,2,5,Cloud Computing,15.93
BCA,9,6,5.28,7,3,5,5,4,AI/ML,14.44
BCA,1,8,7.8,8,0,5,4,1,Cybersecurity,17.56
B.Sc,3,9,8.78,1,3,3,1,4,AI/ML,14.72
M.Tech,9,1,7.48,1,5,1,5,0,AI/ML,16.8
BCA,19,1,7.97,6,0,2,4,4,None,12.55
PhD,13,6,9.49,10,3,4,5,3,Cloud Computing,16.87
M.Sc,14,4,5.99,7,2,3,4,2,AI/ML,16.38
M.Tech,20,4,5.49,4,3,1,4,1,Cloud Computing,12.75
PhD,19,1,8.45,1,5,3,4,1,Cloud Computing,16.22
BCA,7,9,9.11,9,4,1,1,2,Data Science,14.2
B.Sc,4,3,9.25,4,1,1,5,1,None,15.4
MCA,12,5,8.21,2,2,3,5,5,Cloud Computing,16.66
B.Sc,14,10,9.17,8,3,1,5,3,AI/ML,19.41
PhD,2,1,8.5,1,0,1,4,3,None,14.66
B.Tech,1,8,5.44,8,2,4,2,2,Web Development,15.39
BCA,18,3,8.81,1,4,2,2,3,Cybersecurity,14.5
PhD,20,1,5.9,0,1,5,5,0,AI/ML,13.41
B.Tech,8,10,6.18,9,5,4,2,3,App Development,15.92
B.Tech,3,6,6.97,5,1,5,2,1,None,11.63
M.Sc,6,1,6.57,10,3,5,2,2,None,17.48
M.Tech,13,3,6.61,5,5,2,4,5,AI/ML,17.76
M.Sc,9,5,5.85,3,4,4,5,0,AI/ML,14.04
BCA,9,4,6.47,1,4,1,5,3,Data Science,17.11
B.Tech,20,7,5.1,9,1,2,3,0,Web Development,15.38
PhD,9,6,7.36,10,1,1,3,4,AI/ML,17.01
MCA,15,3,8.84,2,4,1,2,4,App Development,14.23
B.Tech,13,8,9.31,5,1,1,5,0,Cloud Computing,15.06
PhD,16,8,9.1,3,0,1,2,4,Web Development,13.51
MCA,2,2,7.08,4,1,4,4,4,Web Development,13.47
M.Sc,14,7,8.65,10,0,5,5,4,AI/ML,17.02
M.Sc,6,1,6.44,8,5,5,4,5,None,14.11
M.Tech,2,2,5.28,4,1,4,4,5,Cloud Computing,15.66
PhD,8,8,8.38,9,2,5,5,2,Web Development,16.14
B.Tech,4,1,8.24,10,2,2,2,2,None,14.85
B.Sc,14,2,9.01,7,5,1,3,4,Cybersecurity,19.45
M.Sc,11,1,8.08,1,5,1,2,1,Cloud Computing,16.75
M.Sc,14,5,5.78,5,2,1,3,4,Web Development,14.85
M.Tech,12,7,9.27,10,5,3,1,4,Web Development,18.39
MCA,16,6,8.14,10,0,2,3,4,Cloud Computing,14.87
M.Tech,6,6,9.04,5,0,3,5,1,Data Science,15.55
B.Tech,20,6,8.87,4,3,4,3,1,Cloud Computing,14.46
PhD,1,8,6.49,5,3,3,1,5,Cybersecurity,12.02
BCA,12,5,5.37,4,1,5,3,4,Data Science,15.44
BCA,7,10,5.88,1,0,5,2,3,AI/ML,12.07
PhD,8,7,5.46,4,2,2,3,5,Data Science,11.15
MCA,9,3,6.22,0,2,3,5,0,Cybersecurity,14.95
M.Sc,2,9,7.3,2,2,3,5,2,Cybersecurity,16.1
MCA,17,10,9.53,6,1,1,4,0,Cybersecurity,14.46
M.Sc,20,3,9.36,3,0,2,2,2,Web Development,13.67
M.Sc,13,6,8.59,7,5,1,2,5,Data Science,17.02
BCA,5,3,5.12,2,1,2,3,0,Cybersecurity,12.75
MCA,10,1,6.71,6,5,2,3,5,App Development,16.08
M.Tech,12,1,8.41,1,4,3,5,1,Data Science,15.97
M.Sc,17,3,5.65,7,4,1,4,4,App Development,13.03
B.Sc,6,4,9.01,2,3,4,1,2,Data Science,13.02
B.Sc,3,2,9.57,5,5,1,3,4,AI/ML,17.04
M.Tech,15,9,6.77,1,0,4,2,4,App Development,11.28
B.Sc,7,8,8.53,6,5,5,3,5,AI/ML,20.21
B.Tech,6,3,5.74,3,5,2,4,1,None,14.95
M.Sc,4,7,8.45,5,2,1,2,2,AI/ML,15.1
M.Tech,19,4,5.11,1,0,2,4,3,App Development,11.5
MCA,5,5,5.75,2,5,1,2,1,None,12.1
M.Sc,3,4,8.55,2,5,5,3,4,Web Development,15.63
M.Tech,9,9,8.56,3,5,1,4,5,None,13.44
BCA,6,7,8.21,0,3,5,5,2,None,16.1
MCA,13,4,7.39,5,2,2,2,1,Web Development,15.73
BCA,20,8,8.37,10,1,3,4,1,AI/ML,18.31
M.Sc,4,2,8.87,5,2,4,4,3,Cybersecurity,17.74
MCA,2,7,9.83,3,5,2,1,0,Cloud Computing,18.48
B.Sc,4,1,9.44,7,5,3,1,2,App Development,19.78
M.Tech,8,8,8.97,4,4,2,3,2,None,17.79
M.Sc,13,6,8.47,9,1,2,5,2,Web Development,16.94
B.Tech,10,5,7.87,3,5,1,5,2,Cloud Computing,15.24
MCA,18,9,5.6,6,2,5,4,0,Web Development,13.19
MCA,9,9,5.83,9,1,5,4,1,Data Science,17.87
PhD,1,3,9.1,9,4,1,4,1,None,15.7
M.Sc,13,9,9.02,7,4,1,2,5,Cybersecurity,14.08
M.Sc,18,9,8.07,1,0,2,3,0,Web Development,12.8
BCA,15,2,7.19,0,5,5,3,1,Data Science,17.25
PhD,2,5,5.13,5,4,2,1,0,Cybersecurity,15.53
B.Sc,11,2,6.64,1,4,3,4,0,App Development,15.07
BCA,14,1,7.1,10,4,3,4,1,Web Development,16.23
PhD,15,7,7.43,7,5,1,2,5,Cybersecurity,17.35
BCA,14,4,9.65,4,3,5,4,1,Web Development,17.71
B.Sc,16,5,5.54,1,4,3,4,0,AI/ML,12.45
PhD,15,4,7.59,10,0,5,3,3,Web Development,17.69
PhD,19,6,6.84,4,1,5,4,4,Web Development,15.78
B.Tech,9,2,9.95,1,3,4,2,2,Data Science,13.85
BCA,5,8,9.31,5,1,3,2,0,AI/ML,12.83
BCA,5,4,7.19,7,1,3,5,1,Cloud Computing,13.55
MCA,11,8,10.0,1,0,2,5,5,Cybersecurity,16.91
B.Sc,20,3,7.57,5,3,2,1,0,None,13.45
M.Tech,4,5,5.84,5,5,5,2,1,Cloud Computing,14.98
B.Tech,20,3,7.78,0,2,1,2,0,Cloud Computing,12.01
PhD,18,7,6.13,8,4,2,3,1,None,14.61
PhD,3,3,8.18,7,1,2,5,3,AI/ML,13.82
PhD,4,8,9.69,3,1,5,1,5,AI/ML,15.9
B.Tech,14,9,8.93,6,0,3,3,4,AI/ML,14.56
PhD,7,2,6.37,3,5,2,3,1,Data Science,17.01
PhD,8,3,6.48,7,0,1,5,5,Data Science,15.36
B.Sc,16,7,5.35,9,0,5,3,3,Cybersecurity,11.8
M.Sc,20,5,6.43,1,3,3,5,4,AI/ML,13.29
M.Sc,15,10,5.46,1,5,4,2,1,Cloud Computing,14.35
MCA,7,7,7.5,2,4,1,2,2,Cybersecurity,15.29
MCA,17,2,8.54,3,3,3,5,0,Data Science,17.7
PhD,12,4,8.76,10,0,5,4,0,None,17.44
B.Sc,18,1,5.3,5,0,4,4,0,None,10.23
PhD,14,5,6.7,4,5,1,1,1,Web Development,12.11
MCA,15,8,6.44,9,5,2,4,2,Web Development,17.37
B.Tech,15,1,5.52,9,1,2,1,2,Cybersecurity,14.23
B.Tech,5,7,6.81,6,3,1,5,2,Data Science,17.02
M.Tech,16,7,6.5,5,3,2,5,5,Cybersecurity,13.78
M.Sc,5,7,8.17,3,5,5,5,4,Data Science,20.35
B.Sc,2,1,9.42,10,4,1,1,5,None,14.5
BCA,20,3,7.27,9,3,1,3,1,None,13.41
M.Sc,9,2,8.73,8,5,2,1,3,AI/ML,15.11
BCA,9,5,5.73,6,4,1,3,4,Web Development,12.35
M.Tech,4,2,9.47,0,2,4,2,1,Cloud Computing,16.73
M.Tech,15,5,5.76,7,5,1,2,2,AI/ML,12.48
PhD,11,5,5.96,3,4,2,3,5,Cloud Computing,14.29
MCA,1,4,5.53,6,0,2,3,1,Cybersecurity,10.78
M.Tech,18,7,6.55,10,2,2,4,2,Web Development,13.35
M.Tech,1,10,7.76,1,1,2,3,3,None,14.83
BCA,8,6,9.94,2,1,5,3,2,Cloud Computing,17.69
MCA,16,2,8.97,0,1,2,5,4,App Development,14.46
M.Tech,18,4,6.9,1,0,4,1,1,Cybersecurity,12.23
M.Sc,9,7,7.88,10,5,1,3,0,Data Science,19.07
M.Tech,12,9,8.12,4,1,3,5,2,AI/ML,17.06
MCA,19,9,9.11,1,4,3,3,2,Data Science,17.22
PhD,18,3,8.68,5,5,5,4,0,None,17.49
B.Sc,5,1,7.85,5,0,3,3,4,None,13.85
MCA,2,9,8.35,5,3,2,3,3,AI/ML,15.28
BCA,7,8,8.73,10,0,3,5,5,Web Development,16.78
B.Sc,10,7,5.67,2,0,4,3,3,Cloud Computing,12.9
M.Sc,15,6,6.0,10,3,2,5,4,Data Science,18.02
B.Tech,7,10,8.44,2,4,3,1,1,Data Science,13.86
MCA,5,7,9.25,9,2,2,5,3,Cloud Computing,16.18
PhD,15,9,7.05,6,3,5,1,5,Cloud Computing,13.88
BCA,20,6,9.9,3,0,4,3,5,Cybersecurity,15.84
M.Sc,20,10,6.08,5,1,1,1,5,AI/ML,13.32
B.Sc,15,3,7.08,7,3,2,2,4,None,12.74
M.Sc,10,3,6.89,2,3,4,2,5,None,14.42
MCA,14,4,9.65,8,2,5,5,2,App Development,19.03
M.Tech,10,10,6.43,8,0,5,4,5,App Development,14.16
PhD,17,10,7.35,2,1,4,3,0,None,11.86
MCA,14,8,5.94,5,1,3,2,1,Cybersecurity,15.17
B.Tech,2,10,7.61,4,2,4,4,1,Data Science,16.01
MCA,16,9,9.29,3,5,3,5,5,Cloud Computing,19.09
B.Sc,13,8,6.52,7,1,3,1,2,None,14.74
B.Sc,9,10,9.05,9,4,4,3,3,Web Development,16.66
MCA,7,2,9.56,8,3,5,1,1,Data Science,16.49
B.Sc,16,4,5.36,8,3,1,3,0,Data Science,13.99
M.Tech,10,4,8.78,4,1,1,2,2,App Development,12.83
M.Sc,9,2,6.28,4,1,4,4,1,AI/ML,16.07
MCA,7,8,5.88,10,1,2,5,5,Cybersecurity,13.05
PhD,16,3,8.01,2,3,4,3,2,App Development,14.3
M.Tech,9,2,8.53,8,1,1,2,3,AI/ML,13.27
M.Sc,17,7,6.97,0,4,4,5,5,Data Science,18.15
PhD,20,1,5.2,2,4,5,3,4,Cloud Computing,15.36
PhD,7,6,9.54,6,3,1,2,2,Web Development,17.11
PhD,11,3,8.65,6,5,1,5,3,AI/ML,15.73
M.Sc,8,3,6.36,4,0,1,1,1,App Development,10.29
M.Tech,7,5,7.48,5,0,5,4,1,Data Science,16.64
PhD,19,3,5.14,3,0,1,4,3,App Development,12.42
PhD,20,4,6.7,7,4,2,1,1,App Development,12.65
BCA,12,3,7.61,3,2,1,4,1,Cybersecurity,14.89
MCA,7,7,7.59,9,0,4,4,1,None,14.53
M.Sc,8,3,6.04,5,2,2,3,3,AI/ML,12.19
M.Sc,7,10,8.88,4,3,3,2,5,Data Science,16.29
B.Sc,6,4,6.49,9,4,1,1,3,Cybersecurity,13.26
M.Sc,9,2,7.9,5,5,3,2,2,Cybersecurity,18.0
M.Tech,13,2,6.36,2,0,3,4,0,Web Development,13.81
M.Sc,7,9,7.13,2,4,5,2,4,Cloud Computing,17.33
BCA,8,1,6.04,9,3,4,5,5,Web Development,16.25
MCA,17,1,8.17,6,4,4,1,5,Cybersecurity,16.26
MCA,17,10,7.13,0,1,3,1,1,AI/ML,13.88
M.Sc,16,1,5.08,0,0,5,1,0,App Development,11.68
PhD,2,3,5.14,0,4,2,3,5,Cloud Computing,13.74
B.Tech,8,2,7.36,5,5,1,2,0,Cybersecurity,15.78
B.Tech,17,3,5.92,3,4,2,2,3,Cloud Computing,14.01
PhD,13,5,7.93,5,4,1,3,3,AI/ML,17.29
PhD,18,9,7.04,0,3,3,1,0,Data Science,13.45
PhD,10,2,8.27,3,0,5,3,3,Data Science,16.77
M.Tech,2,1,9.76,3,5,5,3,2,Cybersecurity,19.7
B.Tech,2,6,7.64,1,0,4,4,2,None,14.05
PhD,14,3,8.94,0,1,4,1,4,Cybersecurity,15.96
M.Tech,16,7,8.77,7,1,2,5,4,Web Development,16.45
B.Sc,7,6,9.61,5,4,4,4,5,Cybersecurity,19.68
M.Tech,12,7,6.07,3,0,1,1,5,Data Science,10.15
B.Tech,14,5,9.14,1,0,5,1,4,Data Science,11.95
M.Sc,4,1,9.53,4,4,5,1,5,Web Development,17.84
B.Sc,4,3,6.96,8,2,3,2,1,App Development,13.98
B.Tech,18,3,6.57,6,0,3,1,2,AI/ML,13.62
M.Tech,3,7,9.76,3,4,2,1,1,Cloud Computing,13.84
BCA,1,3,8.14,4,4,3,5,2,Data Science,19.36
MCA,17,5,6.9,7,2,1,1,5,None,12.82
B.Tech,7,4,8.96,10,1,4,3,0,Cloud Computing,14.32
PhD,16,4,6.52,4,5,4,1,1,Cybersecurity,15.19
M.Tech,5,7,5.88,5,4,2,1,4,Cybersecurity,15.48
PhD,19,1,7.72,9,0,4,1,2,App Development,16.36
PhD,7,7,7.83,5,1,5,2,5,AI/ML,14.8
PhD,14,8,9.13,7,1,4,4,4,App Development,14.81
PhD,2,3,7.29,10,1,3,2,3,Cloud Computing,17.1
PhD,3,3,9.07,4,4,5,5,2,Data Science,20.65
B.Sc,17,4,6.56,0,0,3,5,5,None,10.15
B.Tech,16,6,7.88,3,5,3,3,5,Web Development,14.32
B.Tech,8,7,6.04,2,2,2,3,2,None,12.65
MCA,18,1,6.93,1,3,2,5,4,Data Science,15.13
M.Tech,15,4,9.29,6,3,5,4,4,Cloud Computing,18.32
BCA,7,7,6.08,6,1,4,4,4,Cloud Computing,13.73
B.Sc,9,2,9.05,7,3,1,5,2,Data Science,14.88
M.Tech,6,1,6.41,9,3,4,1,0,Data Science,15.65
B.Sc,18,1,5.17,4,4,5,2,3,AI/ML,12.96
B.Tech,18,10,5.55,0,2,1,2,5,Cybersecurity,11.14
PhD,14,6,8.73,5,3,3,1,4,App Development,15.95
MCA,14,5,6.31,5,5,3,4,5,AI/ML,14.83
MCA,14,1,8.27,10,5,1,2,0,None,16.27
M.Sc,4,10,8.5,7,2,3,2,5,None,15.77
BCA,4,3,6.73,9,3,4,3,4,Data Science,14.07
MCA,15,7,7.37,1,5,2,4,2,Data Science,16.42
PhD,15,9,7.02,10,1,4,5,0,Web Development,16.46
B.Tech,18,9,9.74,8,1,3,5,5,Cybersecurity,15.33
BCA,14,6,6.6,10,5,2,1,2,App Development,16.99
M.Tech,1,3,5.92,5,2,4,2,1,App Development,13.11
PhD,10,1,6.83,0,2,3,5,4,Web Development,12.91
PhD,20,3,8.35,8,2,4,1,3,Cybersecurity,14.62
MCA,10,10,8.49,7,2,3,3,0,None,15.33
BCA,10,2,9.62,9,0,5,4,1,Cybersecurity,17.57
B.Tech,2,5,9.41,0,1,1,2,4,Cloud Computing,12.09
M.Sc,8,8,6.44,7,3,3,2,1,Cybersecurity,17.15
B.Sc,1,5,7.28,6,0,4,1,0,App Development,12.81
B.Sc,1,1,8.74,4,2,3,2,3,None,13.09
B.Tech,4,3,9.58,5,3,3,4,0,Data Science,15.68
B.Tech,7,5,6.69,3,1,4,5,3,Cybersecurity,12.92
B.Sc,9,7,7.22,8,2,4,1,5,AI/ML,17.44
M.Sc,16,5,9.5,8,4,2,4,2,Cloud Computing,18.87
BCA,5,10,6.79,9,2,3,2,4,Web Development,16.51
B.Sc,2,5,7.4,0,3,5,5,1,App Development,15.45
B.Tech,11,7,9.52,8,1,1,4,2,None,14.79
MCA,18,8,9.01,2,2,3,5,4,Cybersecurity,18.64
M.Tech,19,8,6.22,1,1,4,5,1,Web Development,12.64
M.Sc,13,7,6.62,3,0,2,1,2,Data Science,11.21
PhD,11,3,6.76,3,4,3,2,4,Web Development,13.33
M.Sc,20,2,9.56,8,5,5,3,4,Cybersecurity,17.95
MCA,19,1,9.99,3,5,4,3,2,Web Development,18.81
MCA,17,6,8.87,4,0,5,3,0,Data Science,14.37
PhD,5,9,7.42,5,5,5,4,3,Cybersecurity,19.43
B.Tech,13,3,5.05,3,4,1,3,5,Web Development,11.37
B.Sc,20,5,8.49,0,0,1,2,3,Web Development,11.97
BCA,1,9,6.95,1,1,3,3,5,Data Science,15.27
M.Sc,10,9,8.16,2,1,1,5,5,AI/ML,15.2
PhD,8,7,8.03,3,0,3,5,5,AI/ML,16.17
M.Sc,8,4,7.4,4,3,3,5,0,Cloud Computing,15.26
MCA,19,2,9.72,9,0,4,3,4,Data Science,15.88
B.Sc,6,2,5.12,9,2,4,2,1,AI/ML,16.31
M.Sc,12,4,8.56,2,3,2,2,0,None,15.18
BCA,7,1,7.05,10,1,1,3,4,Web Development,14.15
MCA,16,4,8.57,0,0,2,2,2,None,10.62
BCA,9,6,8.38,10,3,5,3,2,Data Science,15.76
B.Sc,10,6,5.05,10,2,3,2,5,Web Development,16.04
M.Sc,10,7,6.43,7,4,3,1,4,Web Development,16.05
M.Tech,10,5,5.95,7,1,4,1,5,Cloud Computing,14.11
M.Sc,20,9,5.83,3,3,5,2,2,App Development,15.78
B.Sc,16,2,8.64,6,5,3,5,3,Cloud Computing,20.36
M.Sc,1,2,6.2,3,3,3,1,0,Cybersecurity,14.93
PhD,17,4,7.37,2,5,5,4,3,App Development,16.53
M.Sc,14,4,6.23,6,3,5,3,4,Data Science,14.02
B.Tech,19,4,7.9,5,0,3,4,0,AI/ML,15.81
M.Sc,17,1,8.6,0,1,5,2,2,None,12.19
M.Sc,14,4,6.66,8,1,1,2,0,Cloud Computing,15.11
